account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,churn_label,ref_date,tenure_days,subs_count,mrr_mean,mrr_max,arr_mean,seats_mean,upgrades,downgrades,auto_renew_rate,trial_rate,latest_plan_tier,latest_billing_frequency,usage_events_30d,usage_count_sum_30d,usage_duration_sum_30d,errors_sum_30d,distinct_features_30d,beta_share_30d,usage_events_60d,usage_count_sum_60d,usage_duration_sum_60d,errors_sum_60d,distinct_features_60d,beta_share_60d,usage_events_90d,usage_count_sum_90d,usage_duration_sum_90d,errors_sum_90d,distinct_features_90d,beta_share_90d,tickets,urgent_rate,high_rate,res_time_mean,res_time_max,first_resp_mean,satisfaction_mean,satisfaction_missing,escalation_rate
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,0,1,2024-12-05,50,7.0,826.7142857142857,1938.0,9920.57142857143,32.57142857142857,1.0,0.0,0.7142857142857143,0.2857142857142857,Enterprise,annual,4.0,38.0,10557.0,6.0,4.0,0.0,5.0,43.0,11037.0,6.0,5.0,0.0,7.0,67.0,19169.0,9.0,7.0,0.0,1.0,1.0,0.0,27.0,27.0,64.0,3.0,0.0,0.0
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,1,1,2024-12-29,500,8.0,1250.5,5572.0,15006.0,22.0,3.0,0.0,0.75,0.0,Pro,monthly,1.0,12.0,3900.0,2.0,1.0,1.0,3.0,27.0,8003.0,2.0,2.0,0.3333333333333333,4.0,38.0,8850.0,3.0,3.0,0.25,3.0,0.6666666666666666,0.0,38.0,64.0,73.33333333333333,4.0,0.0,0.0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,0,1,2024-12-31,126,15.0,1219.0666666666666,5771.0,14628.8,18.8,1.0,1.0,1.0,0.06666666666666667,Pro,annual,8.0,78.0,16100.0,5.0,6.0,0.0,11.0,104.0,26404.0,5.0,8.0,0.0,11.0,104.0,26404.0,5.0,8.0,0.0,3.0,0.3333333333333333,0.0,43.666666666666664,65.0,63.666666666666664,4.666666666666667,0.0,0.0
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,0,1,2024-11-08,439,5.0,1498.2,4776.0,17978.4,30.6,1.0,0.0,0.6,0.2,Pro,monthly,2.0,17.0,2504.0,0.0,2.0,0.5,6.0,46.0,11178.0,3.0,5.0,0.16666666666666666,7.0,52.0,12930.0,3.0,6.0,0.14285714285714285,2.0,0.0,0.5,29.0,44.0,174.0,,1.0,0.0
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,1,1,2024-12-28,62,8.0,3383.75,10746.0,40605.0,39.375,2.0,0.0,0.625,0.125,Pro,monthly,3.0,29.0,10216.0,3.0,3.0,0.0,8.0,72.0,27108.0,6.0,8.0,0.0,12.0,108.0,36799.0,10.0,11.0,0.0,7.0,0.2857142857142857,0.2857142857142857,42.285714285714285,69.0,107.85714285714286,3.8,0.2857142857142857,0.14285714285714285
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,0,1,2024-11-16,401,11.0,1528.1818181818182,6965.0,18338.18181818182,19.545454545454547,0.0,0.0,0.8181818181818182,0.09090909090909091,Enterprise,annual,2.0,25.0,7905.0,0.0,2.0,0.0,4.0,60.0,19790.0,0.0,4.0,0.0,6.0,69.0,21957.0,1.0,6.0,0.0,4.0,0.25,0.5,43.0,65.0,74.75,3.0,0.75,0.0
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,0,0,2024-12-17,284,9.0,1848.111111111111,5174.0,22177.333333333332,19.555555555555557,0.0,0.0,0.8888888888888888,0.1111111111111111,Enterprise,monthly,3.0,22.0,6281.0,1.0,3.0,0.0,6.0,62.0,19832.0,1.0,6.0,0.16666666666666666,7.0,72.0,25392.0,1.0,7.0,0.14285714285714285,6.0,0.0,0.3333333333333333,39.166666666666664,61.0,89.83333333333333,3.8,0.16666666666666666,0.5
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,0,1,2024-05-11,392,6.0,1330.1666666666667,4179.0,15962.0,16.0,0.0,0.0,1.0,0.16666666666666666,Enterprise,annual,3.0,27.0,7275.0,1.0,3.0,0.0,6.0,52.0,16936.0,5.0,5.0,0.16666666666666666,7.0,62.0,18116.0,5.0,6.0,0.14285714285714285,1.0,0.0,1.0,50.0,50.0,9.0,,1.0,0.0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,1,1,2024-12-27,108,10.0,2305.7,13333.0,27668.4,21.6,1.0,0.0,0.7,0.3,Pro,annual,,,,,,,3.0,35.0,10634.0,0.0,3.0,0.0,7.0,67.0,18005.0,1.0,7.0,0.14285714285714285,4.0,0.25,0.75,32.5,60.0,75.25,3.6666666666666665,0.25,0.0
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,1,1,2024-12-23,595,6.0,1464.5,3383.0,17574.0,19.333333333333332,1.0,0.0,0.6666666666666666,0.16666666666666666,Pro,monthly,2.0,22.0,10886.0,3.0,2.0,0.0,3.0,29.0,11789.0,3.0,3.0,0.0,7.0,70.0,28937.0,3.0,7.0,0.0,3.0,0.0,0.6666666666666666,31.333333333333332,37.0,71.33333333333333,3.5,0.3333333333333333,0.0
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,1,1,2024-10-04,9,5.0,3555.8,8358.0,42669.6,30.2,1.0,0.0,0.8,0.2,Enterprise,monthly,8.0,88.0,29486.0,5.0,8.0,0.125,10.0,108.0,33186.0,10.0,10.0,0.1,13.0,138.0,45246.0,14.0,11.0,0.15384615384615385,2.0,0.0,0.5,28.5,48.0,95.5,5.0,0.5,0.0
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,0,0,2024-12-29,51,10.0,4324.7,11741.0,51896.4,59.0,1.0,0.0,0.6,0.3,Basic,monthly,,,,,,,4.0,37.0,10447.0,0.0,4.0,0.5,5.0,45.0,13695.0,1.0,5.0,0.4,2.0,1.0,0.0,20.5,27.0,125.5,5.0,0.0,0.0
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,0,0,2024-12-30,626,12.0,1353.5,12139.0,16242.0,19.75,2.0,0.0,0.8333333333333334,0.16666666666666666,Enterprise,annual,6.0,66.0,23523.0,7.0,6.0,0.0,7.0,76.0,24823.0,7.0,6.0,0.0,10.0,115.0,29722.0,9.0,9.0,0.1,3.0,0.0,0.6666666666666666,40.333333333333336,58.0,68.33333333333333,5.0,0.6666666666666666,0.3333333333333333
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,0,1,2024-05-17,123,8.0,2023.375,10348.0,24280.5,35.125,1.0,2.0,0.75,0.125,Pro,annual,4.0,30.0,7419.0,0.0,3.0,0.0,6.0,51.0,10802.0,1.0,5.0,0.0,8.0,67.0,15372.0,3.0,7.0,0.0,3.0,0.3333333333333333,0.6666666666666666,26.0,36.0,84.33333333333333,4.0,0.6666666666666666,0.0
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,0,1,2024-12-30,30,13.0,2262.076923076923,10945.0,27144.923076923078,29.76923076923077,0.0,1.0,0.7692307692307693,0.15384615384615385,Enterprise,annual,2.0,15.0,1314.0,6.0,2.0,1.0,4.0,43.0,9654.0,8.0,4.0,0.75,7.0,74.0,19928.0,8.0,7.0,0.42857142857142855,2.0,0.5,0.0,50.5,57.0,118.0,3.0,0.5,0.0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,0,1,2024-10-01,389,8.0,3468.25,14129.0,41619.0,31.25,2.0,0.0,0.875,0.125,Basic,annual,2.0,18.0,4648.0,3.0,2.0,0.0,4.0,33.0,8743.0,7.0,4.0,0.0,6.0,52.0,11234.0,9.0,6.0,0.0,2.0,0.0,0.5,24.5,28.0,30.5,4.0,0.5,0.0
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,0,1,2024-12-30,25,6.0,2088.5,8358.0,25062.0,26.5,0.0,0.0,0.6666666666666666,0.0,Basic,annual,2.0,18.0,4105.0,1.0,2.0,0.0,5.0,46.0,9819.0,2.0,4.0,0.0,6.0,54.0,14507.0,3.0,5.0,0.16666666666666666,6.0,0.16666666666666666,0.16666666666666666,50.166666666666664,69.0,94.83333333333333,4.25,0.3333333333333333,0.16666666666666666
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,0,0,2024-12-31,496,6.0,1976.3333333333333,7363.0,23716.0,30.333333333333332,0.0,0.0,1.0,0.0,Pro,annual,3.0,30.0,6794.0,0.0,3.0,0.0,5.0,45.0,11469.0,1.0,5.0,0.0,7.0,60.0,12280.0,1.0,6.0,0.0,6.0,0.3333333333333333,0.0,41.666666666666664,70.0,79.16666666666667,3.5,0.6666666666666666,0.0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,1,1,2024-12-17,649,9.0,1627.3333333333333,3582.0,19528.0,25.77777777777778,0.0,1.0,0.7777777777777778,0.1111111111111111,Enterprise,monthly,2.0,29.0,5581.0,0.0,2.0,0.0,3.0,47.0,12403.0,0.0,3.0,0.0,4.0,61.0,19361.0,2.0,4.0,0.0,5.0,0.2,0.0,36.0,58.0,59.0,3.6,0.0,0.0
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,0,1,2024-09-15,301,7.0,703.0,3781.0,8436.0,15.714285714285714,2.0,0.0,0.42857142857142855,0.2857142857142857,Pro,annual,2.0,19.0,5128.0,4.0,2.0,0.0,3.0,26.0,6059.0,7.0,3.0,0.0,6.0,53.0,14277.0,7.0,6.0,0.0,3.0,0.0,0.3333333333333333,26.0,54.0,108.66666666666667,4.0,0.3333333333333333,0.3333333333333333
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,0,1,2024-07-03,80,6.0,554.5,1127.0,6654.0,17.833333333333332,2.0,0.0,0.8333333333333334,0.16666666666666666,Basic,annual,1.0,7.0,3584.0,0.0,1.0,0.0,3.0,23.0,9459.0,1.0,3.0,0.3333333333333333,8.0,67.0,18814.0,5.0,6.0,0.375,2.0,0.5,0.0,5.5,10.0,145.0,4.5,0.0,0.0
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,0,0,2024-12-29,154,8.0,646.875,2388.0,7762.5,13.125,1.0,1.0,0.75,0.0,Basic,monthly,,,,,,,1.0,8.0,112.0,1.0,1.0,0.0,2.0,16.0,3816.0,1.0,2.0,0.0,9.0,0.1111111111111111,0.3333333333333333,31.333333333333332,70.0,81.88888888888889,4.0,0.4444444444444444,0.1111111111111111
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,1,1,2024-10-11,52,8.0,2174.5,15522.0,26094.0,21.75,2.0,0.0,0.625,0.125,Basic,monthly,2.0,12.0,5480.0,3.0,2.0,0.0,8.0,84.0,21740.0,10.0,6.0,0.25,10.0,109.0,24465.0,11.0,7.0,0.2,3.0,0.3333333333333333,0.0,31.333333333333332,71.0,76.66666666666667,3.3333333333333335,0.0,0.0
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,1,1,2024-09-01,104,7.0,10614.857142857143,17114.0,127378.28571428571,86.0,0.0,0.0,0.8571428571428571,0.14285714285714285,Basic,monthly,1.0,7.0,693.0,0.0,1.0,0.0,5.0,40.0,11712.0,0.0,5.0,0.4,5.0,40.0,11712.0,0.0,5.0,0.4,2.0,0.0,0.0,54.5,57.0,97.0,4.0,0.5,0.0
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,0,1,2024-12-09,66,7.0,516.1428571428571,1617.0,6193.714285714285,24.0,0.0,1.0,1.0,0.42857142857142855,Pro,annual,,,,,,,6.0,54.0,14879.0,4.0,6.0,0.0,6.0,54.0,14879.0,4.0,6.0,0.0,,,,,,,,,
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,1,1,2024-04-28,418,6.0,487.6666666666667,893.0,5852.0,30.0,0.0,0.0,0.8333333333333334,0.16666666666666666,Basic,annual,3.0,42.0,17019.0,1.0,3.0,0.0,4.0,58.0,18395.0,1.0,4.0,0.0,7.0,87.0,24619.0,1.0,7.0,0.0,1.0,0.0,0.0,63.0,63.0,24.0,,1.0,0.0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,0,0,2024-12-24,466,9.0,1569.0,7761.0,18828.0,15.333333333333334,0.0,1.0,0.8888888888888888,0.1111111111111111,Pro,annual,2.0,28.0,6695.0,1.0,2.0,0.5,2.0,28.0,6695.0,1.0,2.0,0.5,4.0,47.0,10636.0,1.0,4.0,0.25,2.0,1.0,0.0,33.0,65.0,120.5,,1.0,0.0
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,1,1,2024-12-29,611,16.0,2027.0625,9751.0,24324.75,25.8125,3.0,0.0,0.875,0.1875,Enterprise,monthly,6.0,56.0,20253.0,0.0,6.0,0.3333333333333333,7.0,64.0,20829.0,0.0,7.0,0.2857142857142857,11.0,117.0,42693.0,2.0,10.0,0.2727272727272727,4.0,0.0,0.75,49.75,60.0,119.0,5.0,0.25,0.0
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,0,1,2024-07-22,268,6.0,6113.666666666667,27064.0,73364.0,44.666666666666664,0.0,0.0,0.8333333333333334,0.0,Enterprise,monthly,5.0,51.0,22296.0,3.0,5.0,0.0,7.0,73.0,28882.0,7.0,7.0,0.14285714285714285,10.0,108.0,42100.0,7.0,9.0,0.2,4.0,0.5,0.0,34.0,71.0,126.5,4.0,0.75,0.0
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,0,1,2024-03-04,159,2.0,2180.0,3980.0,26160.0,20.0,0.0,0.0,1.0,0.0,Basic,annual,1.0,9.0,4356.0,0.0,1.0,1.0,3.0,34.0,14572.0,1.0,3.0,0.3333333333333333,4.0,45.0,17641.0,1.0,4.0,0.25,2.0,0.0,0.0,61.5,63.0,27.0,3.5,0.0,0.0
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,0,1,2024-11-30,59,8.0,1021.5,2597.0,12258.0,17.5,2.0,1.0,0.875,0.125,Pro,monthly,3.0,26.0,8018.0,0.0,3.0,0.3333333333333333,6.0,58.0,14517.0,0.0,6.0,0.16666666666666666,7.0,67.0,15480.0,0.0,7.0,0.14285714285714285,4.0,0.25,0.5,16.0,29.0,116.25,,1.0,0.0
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,0,0,2024-12-24,520,7.0,1173.7142857142858,3184.0,14084.57142857143,17.142857142857142,2.0,1.0,0.7142857142857143,0.14285714285714285,Enterprise,monthly,1.0,14.0,1498.0,0.0,1.0,0.0,2.0,20.0,2446.0,0.0,2.0,0.0,3.0,32.0,8530.0,0.0,2.0,0.0,5.0,0.0,0.0,45.4,60.0,91.8,3.6666666666666665,0.4,0.0
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,1,1,2024-09-01,66,5.0,1761.0,5970.0,21132.0,32.8,0.0,0.0,0.6,0.2,Enterprise,annual,4.0,38.0,8078.0,2.0,4.0,0.0,9.0,99.0,23508.0,2.0,8.0,0.1111111111111111,12.0,131.0,38254.0,5.0,11.0,0.16666666666666666,3.0,0.0,0.3333333333333333,43.0,68.0,84.0,3.0,0.3333333333333333,0.0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,0,1,2023-07-12,78,,,,,,,,,,,,3.0,35.0,11344.0,4.0,3.0,0.0,4.0,50.0,15019.0,4.0,4.0,0.25,6.0,76.0,21441.0,5.0,6.0,0.16666666666666666,2.0,0.0,0.0,14.5,18.0,64.0,5.0,0.5,0.0
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,0,1,2023-10-04,217,2.0,1722.0,2646.0,20664.0,48.0,0.0,0.0,1.0,0.0,Basic,monthly,,,,,,,2.0,21.0,1256.0,1.0,2.0,0.0,3.0,32.0,6855.0,1.0,3.0,0.3333333333333333,,,,,,,,,
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,0,1,2024-11-29,201,4.0,114.0,456.0,1368.0,22.75,0.0,0.0,1.0,0.75,Enterprise,annual,,,,,,,1.0,12.0,3348.0,0.0,1.0,0.0,3.0,36.0,13059.0,1.0,3.0,0.0,7.0,0.14285714285714285,0.42857142857142855,40.857142857142854,65.0,76.14285714285714,4.6,0.2857142857142857,0.0
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,0,0,2024-12-14,582,9.0,1265.7777777777778,3582.0,15189.333333333334,16.444444444444443,0.0,0.0,0.7777777777777778,0.0,Basic,annual,4.0,42.0,15273.0,1.0,4.0,0.0,4.0,42.0,15273.0,1.0,4.0,0.0,5.0,54.0,16149.0,5.0,5.0,0.0,8.0,0.5,0.25,30.75,55.0,82.5,4.25,0.5,0.125
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,0,1,2024-11-12,141,9.0,2154.1111111111113,4975.0,25849.333333333332,23.0,2.0,0.0,0.7777777777777778,0.1111111111111111,Enterprise,annual,1.0,7.0,1253.0,2.0,1.0,0.0,1.0,7.0,1253.0,2.0,1.0,0.0,2.0,18.0,4267.0,2.0,2.0,0.0,3.0,0.3333333333333333,0.6666666666666666,63.0,69.0,109.33333333333333,4.0,0.6666666666666666,0.0
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,0,1,2024-12-24,17,3.0,3139.6666666666665,4459.0,37676.0,43.666666666666664,0.0,0.0,0.6666666666666666,0.0,Pro,annual,2.0,17.0,1200.0,0.0,2.0,0.5,3.0,31.0,4140.0,1.0,3.0,0.3333333333333333,3.0,31.0,4140.0,1.0,3.0,0.3333333333333333,5.0,0.0,0.4,44.2,62.0,100.8,4.8,0.0,0.0
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,0,0,2024-12-30,64,11.0,797.3636363636364,2009.0,9568.363636363636,17.545454545454547,0.0,1.0,1.0,0.09090909090909091,Pro,monthly,3.0,31.0,14391.0,2.0,3.0,0.3333333333333333,5.0,64.0,26296.0,3.0,4.0,0.2,10.0,115.0,43392.0,4.0,8.0,0.1,5.0,0.4,0.2,27.2,63.0,109.4,4.0,0.2,0.0
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,0,1,2024-11-25,571,12.0,4259.083333333333,18308.0,51109.0,45.083333333333336,2.0,0.0,0.8333333333333334,0.0,Pro,annual,6.0,61.0,15245.0,4.0,5.0,0.0,9.0,94.0,27944.0,4.0,8.0,0.0,11.0,108.0,34118.0,5.0,9.0,0.0,4.0,0.0,0.5,20.0,36.0,108.5,4.0,0.25,0.0
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,0,0,2024-12-30,127,7.0,509.2857142857143,2786.0,6111.428571428572,17.142857142857142,3.0,0.0,1.0,0.42857142857142855,Enterprise,annual,,,,,,,2.0,27.0,8986.0,0.0,2.0,0.0,3.0,33.0,10078.0,0.0,3.0,0.0,3.0,0.3333333333333333,0.6666666666666666,40.333333333333336,68.0,136.33333333333334,4.333333333333333,0.0,0.0
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,1,1,2024-12-24,651,15.0,2634.4,7164.0,31612.8,35.86666666666667,2.0,0.0,0.6666666666666666,0.06666666666666667,Enterprise,monthly,2.0,12.0,5718.0,0.0,2.0,0.0,7.0,69.0,28310.0,0.0,6.0,0.14285714285714285,12.0,118.0,47440.0,0.0,9.0,0.16666666666666666,1.0,0.0,0.0,36.0,36.0,135.0,3.0,0.0,0.0
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,0,1,2024-08-15,520,8.0,3384.5,7960.0,40614.0,34.25,2.0,0.0,1.0,0.0,Pro,monthly,6.0,58.0,20603.0,1.0,5.0,0.16666666666666666,7.0,67.0,24140.0,1.0,6.0,0.14285714285714285,9.0,92.0,29500.0,1.0,8.0,0.1111111111111111,1.0,1.0,0.0,17.0,17.0,112.0,4.0,0.0,0.0
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,0,1,2024-10-20,106,9.0,2066.777777777778,9552.0,24801.333333333332,18.77777777777778,1.0,0.0,1.0,0.0,Enterprise,annual,7.0,63.0,17353.0,8.0,6.0,0.14285714285714285,11.0,100.0,31765.0,9.0,9.0,0.09090909090909091,11.0,100.0,31765.0,9.0,9.0,0.09090909090909091,3.0,0.0,0.3333333333333333,42.666666666666664,51.0,111.33333333333333,3.5,0.3333333333333333,0.0
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,0,1,2024-05-07,8,1.0,392.0,392.0,4704.0,8.0,0.0,0.0,1.0,0.0,Pro,annual,1.0,13.0,1170.0,0.0,1.0,0.0,5.0,49.0,9282.0,2.0,5.0,0.0,8.0,83.0,14985.0,3.0,8.0,0.0,3.0,0.6666666666666666,0.0,26.333333333333332,64.0,82.0,5.0,0.3333333333333333,0.0
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,0,1,2024-07-19,469,9.0,1023.7777777777778,4378.0,12285.333333333334,24.666666666666668,1.0,1.0,0.7777777777777778,0.1111111111111111,Basic,monthly,4.0,42.0,10310.0,6.0,4.0,0.0,7.0,81.0,26095.0,8.0,6.0,0.0,12.0,124.0,39239.0,12.0,11.0,0.0,1.0,0.0,0.0,22.0,22.0,156.0,4.0,0.0,0.0
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,0,1,2024-03-22,26,,,,,,,,,,,,3.0,24.0,10728.0,0.0,3.0,0.0,5.0,44.0,20196.0,2.0,4.0,0.0,9.0,77.0,38023.0,3.0,8.0,0.0,3.0,0.6666666666666666,0.0,23.666666666666668,41.0,45.0,4.0,0.6666666666666666,0.0
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,0,1,2024-12-17,47,6.0,945.8333333333334,2985.0,11350.0,11.833333333333334,0.0,0.0,0.8333333333333334,0.16666666666666666,Enterprise,annual,1.0,10.0,840.0,0.0,1.0,0.0,5.0,51.0,14056.0,0.0,5.0,0.2,7.0,69.0,21985.0,0.0,7.0,0.14285714285714285,4.0,0.5,0.0,42.25,59.0,83.0,3.6666666666666665,0.25,0.0
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,0,1,2024-08-30,353,10.0,1054.2,3582.0,12650.4,20.6,2.0,1.0,0.7,0.2,Enterprise,annual,1.0,12.0,5448.0,0.0,1.0,0.0,2.0,20.0,7704.0,0.0,2.0,0.5,2.0,20.0,7704.0,0.0,2.0,0.5,4.0,0.25,0.0,19.25,41.0,35.25,4.0,0.5,0.0
